Item #,Description,Vendor Name,class,Full Case Qty
33112,Disposable 5 Lead             Cable and Lead Wire System    ,Covidien                                ,Electrode Leads and Cables,0
33113,Disposable 5 Lead             Cable and Lead Wire System    ,Covidien                                ,Electrode Leads and Cables,100
33114,Disposable 5 Lead             Cable and Lead Wire System    ,Covidien                                ,Electrode Leads and Cables,0
33125,Disposable 6 Lead             Cable and Lead Wire System    ,Covidien                                ,Electrode Leads and Cables,100
33126,Disposable 6 Lead             Cable and Lead Wire System    ,Covidien                                ,Electrode Leads and Cables,100
33132,Disposable 5 Lead             Cable and Lead Wire System    ,Covidien                                ,Electrode Leads and Cables,100
33133,Disposable 5 Lead             Cable and Lead Wire System    ,Covidien                                ,Electrode Leads and Cables,100
33134,Disposable 6 Lead             Cable and Lead Wire System    ,Covidien                                ,Electrode Leads and Cables,100
33135,Kendall DL Disposable Dual    Connect 5 Lead Cable and Lead ,Covidien                                ,Electrode Leads and Cables,50
33135T,Disposable 5 Lead             Cable and Lead Wire System Kit,Covidien                                ,Electrode Leads and Cables,0
33136,Kendall DL Disposable         Dual Connect Lead Set         ,Covidien                                ,Electrode Leads and Cables,100
33136T,Disposable 5 Lead             Cable and Lead Wire System    ,Covidien                                ,Electrode Leads and Cables,100
33145,Kendall DL Disposable         Dual Connect Cable            ,Covidien                                ,Electrode Leads and Cables,100
33145T,Disposable Dual Connect       Cable Only                    ,Covidien                                ,Electrode Leads and Cables,100
179075P,"Bluntport , Trocar W/BluntGrip                              ","Auto Suture,Co.                         ",Endoscopic Trocars,3
179096P,Endoscopic Trocar             Versaport Plus V2             ,"Auto Suture,Co.                         ",Endoscopic Trocars,3
NB5SHF,Versaport Bladeless Trocar    with Fixation Cannula         ,"Auto Suture,Co.                         ",Endoscopic Trocars,6
NB5STF,VersaPort Bladeless Trocar    with Fixation Cannula         ,"Auto Suture,Co.                         ",Endoscopic Trocars,6
179076P,Versaport RPF Trocar          W/Radiolucent Sleeve (Teal/   ,Covidien                                ,Endoscopic Trocars,3
179095P,Endoscopic Trocar             Versaport Plus V2             ,Covidien                                ,Endoscopic Trocars,3
179095PF,Versaport Plus V2 Trocar      W/ Fixation Sleeve            ,Covidien                                ,Endoscopic Trocars,3
179096PF,Versaport Plus V2 Trocar      W/ Fixation Sleeve            ,Covidien                                ,Endoscopic Trocars,3
179103P,VersaPort Plus V2 RT Obturatorwith 5mm Plus Seal (6 sided)  ,Covidien                                ,Endoscopic Trocars,3
179775P,Bluntport Plus Obturator RT   with Plus Seal and Bluntgrip  ,Covidien                                ,Endoscopic Trocars,3
B12STF,"VersaOne, bladed, fixation                                  ",Covidien                                ,Endoscopic Trocars,6
B5SHF,"VersaOne, bladed, fixation                                  ",Covidien                                ,Endoscopic Trocars,6
BPT12STS,"VersaOne, blunt, threaded     anchor                        ",Covidien                                ,Endoscopic Trocars,3
NB11STF,Versaport Plus Bladeless      Trocar with Fixation Cannula  ,Covidien                                ,Endoscopic Trocars,6
NB12STF,Versaport Plus Bladeless      Trocar with Fixation Cannula  ,Covidien                                ,Endoscopic Trocars,6
NBFCA11ST,Versaport Plus Bladeless      Fixation Cannula              ,Covidien                                ,Endoscopic Trocars,6
NBFCA12ST,Versaport Plus Bladeless      Fixation Cannula              ,Covidien                                ,Endoscopic Trocars,6
NBFCA5SH,Versaport Bladeless           Fixation Cannula              ,Covidien                                ,Endoscopic Trocars,6
NBFCA5ST,Versaport Bladeless           Fixation Cannula              ,Covidien                                ,Endoscopic Trocars,6
ONB11STF,"VersaOne, optical, bladeless  fixation                      ",Covidien                                ,Endoscopic Trocars,6
ONB12LGF,"VersaOne, optical, bladeless  fixation                      ",Covidien                                ,Endoscopic Trocars,6
ONB12STF,"VersaOne, optical, bladeless  fixation                      ",Covidien                                ,Endoscopic Trocars,6
ONB15LGF,"VersaOne, optical, bladeless  fixation                      ",Covidien                                ,Endoscopic Trocars,6
ONB15STF,"VersaOne, optical, bladeless  fixation                      ",Covidien                                ,Endoscopic Trocars,6
ONB5LGF,"VersaOne, optical, bladeless  fixation                      ",Covidien                                ,Endoscopic Trocars,6
ONB5SHF,"VersaOne, optical, bladeless  fixation                      ",Covidien                                ,Endoscopic Trocars,6
ONB5STF,"VersaOne, optical, bladeless  fixation                      ",Covidien                                ,Endoscopic Trocars,6
UNVCA12LGF,"VersaOne, universal cannula   fixation                      ",Covidien                                ,Endoscopic Trocars,6
UNVCA12STF,"VersaOne, universal cannula   fixation                      ",Covidien                                ,Endoscopic Trocars,6
UNVCA12STS,"VersaOne, universal cannula   smooth                        ",Covidien                                ,Endoscopic Trocars,6
UNVCA5LGF,"VersaOne, universal cannula   fixation                      ",Covidien                                ,Endoscopic Trocars,6
UNVCA5SHF,"VersaOne, universal cannula   fixation                      ",Covidien                                ,Endoscopic Trocars,6
UNVCA5STF,"VersaOne, universal cannula   fixation                      ",Covidien                                ,Endoscopic Trocars,6
VS100705,"VersaStep Plus Short          bladeless, w/o sleeve         ",Covidien                                ,Endoscopic Trocars,3
VS100711P,"VersaStep Plus Short          bladeless, w/o sleeve         ",Covidien                                ,Endoscopic Trocars,3
VS100712P,"VersaStep Plus Short          bladeless, w/o sleeve         ",Covidien                                ,Endoscopic Trocars,3
VS101005-NS,Versastep Cannula and Dilator w/o Expandable Sleeve         ,Covidien                                ,Endoscopic Trocars,3
VS101011P,"VersaStep Plus, bladeless, w/oexpandable sleeve             ",Covidien                                ,Endoscopic Trocars,3
VS101012P,"VersaStep Plus, bladeless, w/oexpandable sleeve             ",Covidien                                ,Endoscopic Trocars,3
VS101015P,"VersaStep Plus, bladeless, w/oexpandable sleeve             ",Covidien                                ,Endoscopic Trocars,3
VS101505,"VersaStep Plus Long, bladelessw/o expandabe sleeve          ",Covidien                                ,Endoscopic Trocars,3
VS101512P,"VersaStep Plus, bladeless, w/oexpandable sleeve             ",Covidien                                ,Endoscopic Trocars,3
2B5LT,XCEL Bladeless Trocar         w/OPTIVIEW Technology & Sleeve,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
2B5ST,XCEL Bladeless Trocar         w/OPTIVIEW Technology & Sleeve,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
2CB5LT,XCEL Universal Stability      Sleeve w/OPTIVIEW Technology  ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
2CB5ST,XCEL Universal Stability      Sleeve w/OPTIVIEW Technology  ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
2D5LT,XCEL Dilating Tip Trocar      w/OPTIVIEW Technology & Sleeve,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
2D5ST,XCEL Dilating Tip Trocar      w/OPTIVIEW Technology & Sleeve,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
B11LT,Xcel Bladeless Trocar         w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
B12LT,Xcel Bladeless Trocar         w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
B12XT,"Endopath XCEL, bladeless, longstability                     ","Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
B15LT,"Endopath XCEL, bladeless      stability                     ","Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
B5LT,Xcel Bladeless Trocar         w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
B5ST,Xcel Bladeless Trocar         w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
B5XT,"Endopath XCEL, bladeless, longstability                     ","Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
B8LT,"Endopath XCEL, bladeless      stability                     ","Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
CB11LT,Xcel Trocar Sleeve            w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
CB12LT,Xcel Trocar Sleeve            w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
CB5LT,Xcel Trocar Sleeve            w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
CB5ST,Xcel Trocar Sleeve            w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
D11LT,Xcel Dilating Tip Trocar      w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
D12LT,Xcel Dilating Tip Trocar      w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
D5LT,Xcel Dilating Tip Trocar      w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
D5ST,Xcel Dilating Tip Trocar      w/Stability Sleeve            ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
H12LP,Xcel Blunt Tip Trocar                                       ,"Ethicon Endo-Surgery, Inc.              ",Endoscopic Trocars,6
EICA5872-01,EVAC 70 XTRA WAND                                           ,Arthrocare                              ,ENT,1
EICA8870-01,Procise EZ Coblation Wand                                   ,Arthrocare                              ,ENT,1
EICA8872-01,Procise XP Wand                                             ,Arthrocare                              ,ENT,1
EICA4835-01,Reflex ULTRA PTR Wand                                       ,Smith & Nephew                          ,ENT,1
EICA4845-01,Reflex ULTRA 45 Wand                                        ,Smith & Nephew                          ,ENT,1
EICA4855-01,Reflex ULTRA 55 Wand                                        ,Smith & Nephew                          ,ENT,1
EICA5874-01,EVAC 70 XTRA HP Wand                                        ,Smith & Nephew                          ,ENT,1
EICA7070-01,Procise LW Wand                                             ,Smith & Nephew                          ,ENT,1
EICA8875-01,Procise EZ View Wand                                        ,Smith & Nephew                          ,ENT,1
EICA8898-01,Procise Max Coblation Wand                                  ,Smith & Nephew                          ,ENT,1
EICA9820-01,Excise PDW                                                  ,Smith & Nephew                          ,ENT,1
002943P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
006245P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
006590P,EP Connector Cable            Protected 10 Pin              ,Bard Electrophysiology                  ,EP Catheters & Cables,1
006692P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
008567,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
008568P,EP Connector Cable            Protected 4 Pin               ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200055P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200056,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200056E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200057P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200058,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200058E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200059P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200060,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200060E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200061P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200062E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200063P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200064P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200066,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200066S,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200067,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200068,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200069,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200088P,EP Connector Cable            Protected 4 Pin               ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200089P,EP Connector Cable            Protected 6 Pin               ,Bard Electrophysiology                  ,EP Catheters & Cables,1
2001123,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200131,BARD Dynamic Tip Steerable    Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200150,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200151,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200152,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200153,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200201P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200202,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200203,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200204,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200204E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200205,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200205E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200206,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200207,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200208,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200209,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200210,Bard Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200211,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200212,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200344,BARD Dynamic Tip Steerable    Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200354,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200355,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200472,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200473,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200526,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200570P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200571P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200572P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200574,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200575,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200576,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200577,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200577E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200578,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200580,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200580E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200581,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200581E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200582,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200583,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200584,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200585,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200586,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200587,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200587E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200588,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200588E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200589,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200590,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200591,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200592,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200593,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200595,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200596,BARD WovenFlexie Fixed Curve  Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200597,BARD WovenFlexie Fixed Curve  Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200598,BARD WovenFlexie Fixed Curve  Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200612P,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200624,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200624E,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200624S,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200719,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200728,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200740,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200769,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200770,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200772,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200774P,EP Connector Cable            Protected 8 Pin               ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200792,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200793,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200794,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200795,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200796,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200797,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
200798,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201007,BARD EP XT Decapolar SteerableDiagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201101,BARD Dynamic Deca Steerable   Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201102,BARD Dynamic XT Deca SteerableDiagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201103,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201104,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201105,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201106,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201107,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201108,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201109,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201110,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201112,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201113,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201114,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201115,BARD Dynamic XT Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201116,BARD EP XT Steerable          Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201400,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
201401,BARD Woven Fixed Curve        Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
210055,Reusable Ablation Cable       Male 10-Pin to Female 10-Pin  ,Bard Electrophysiology                  ,EP Catheters & Cables,1
210055A,Reusable Templink Cable       Male 10-Pole to Female 10-Pole,Bard Electrophysiology                  ,EP Catheters & Cables,1
210057,Reusable Ablation Cable       Male 9-Pin to Female 10-Pin   ,Bard Electrophysiology                  ,EP Catheters & Cables,1
210057A,Reusable Templink Cable       Male 9-Pole to Female 10-Pole ,Bard Electrophysiology                  ,EP Catheters & Cables,1
320001,BARD Orbiter ST Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
320002,BARD Orbiter ST Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
320004,BARD Orbiter ST Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
320005,BARD Orbiter ST Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
320006,BARD Orbiter ST Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
320007,BARD Orbiter ST Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
320008,BARD Orbiter ST Steerable     Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
320010,BARD Orbiter ST               Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
390003P,EP Connector Cable            24 Pin Orbiter ST             ,Bard Electrophysiology                  ,EP Catheters & Cables,1
390004P,EP Connector Cable            24 Pin Orbiter ST             ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400001,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400002,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400003,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400004,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400005,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400006,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400007,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400008,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400009,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400010,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400011,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400012,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400013,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400014,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400016,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400017,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400018,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400019,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
400020,BARD Viking Fixed Curve       Diagnostic EP Catheter        ,Bard Electrophysiology                  ,EP Catheters & Cables,1
